model,seed,accuracy,gvr
markov,0,0.565,0.0
1nn,0,0.53,0.01
lstm,0,0.66,0.0
markov,1,0.56,0.0
1nn,1,0.55,0.005
lstm,1,0.685,0.0
markov,2,0.535,0.0
1nn,2,0.495,0.0
lstm,2,0.705,0.0
