model,acc_mean,acc_std,gvr_mean,gvr_std
1nn,0.525,0.027838821814150136,0.005,0.004999999999999999
lstm,0.6833333333333332,0.022546248764114412,0.0,0.0
markov,0.5533333333333333,0.016072751268321566,0.0,0.0
