model,seed,accuracy,gvr
markov,0,0.825,0.0
1nn,0,0.825,0.0
lstm,0,0.825,0.0
markov,1,0.835,0.0
1nn,1,0.705,0.0
lstm,1,0.83,0.0
markov,2,0.815,0.0
1nn,2,0.815,0.0
lstm,2,0.815,0.0
