model,acc_mean,acc_std,gvr_mean,gvr_std
1nn,0.7816666666666666,0.06658328118479391,0.0,0.0
lstm,0.8233333333333333,0.007637626158259719,0.0,0.0
markov,0.8249999999999998,0.010000000000000009,0.0,0.0
